버스정류장ARS번호,분기,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
23101,1분기,6672,71579,49177,57856,81299,31310,127.0204417,37.52299569
23101,2분기,8033,73779,48388,60335,86690,33037,127.0204417,37.52299569
23101,3분기,7756,74680,49755,58587,83374,33121,127.0204417,37.52299569
23101,4분기,6377,73417,51018,59961,77762,26662,127.0204417,37.52299569
23102,1분기,4348,42466,33203,48549,87372,38859,127.0210868,37.52348668
23102,2분기,4946,40707,31879,51386,92385,43391,127.0210868,37.52348668
23102,3분기,4991,41500,33988,52135,89491,44470,127.0210868,37.52348668
23102,4분기,4369,39959,36355,54123,84720,35959,127.0210868,37.52348668
23103,1분기,5270,41479,33143,40675,49287,20109,127.0251671,37.52550414
23103,2분기,5970,42281,32089,41335,52061,21114,127.0251671,37.52550414
23103,3분기,5959,44174,33409,41087,50083,21421,127.0251671,37.52550414
23103,4분기,4830,41083,32428,40275,44720,17802,127.0251671,37.52550414
23104,1분기,4209,29841,29602,39551,60606,22942,127.024444,37.5252724
23104,2분기,4688,29888,28605,40863,59505,22830,127.024444,37.5252724
23104,3분기,4290,30661,29400,42203,59468,23642,127.024444,37.5252724
23104,4분기,3683,29669,28433,39649,53597,22064,127.024444,37.5252724
23105,1분기,14474,112919,34613,36427,56695,21479,127.0283485,37.52615131
23105,2분기,14194,108680,33934,36270,55928,21117,127.0283485,37.52615131
23105,3분기,14282,109960,34503,35134,55150,20970,127.0283485,37.52615131
23105,4분기,12815,103213,32522,33367,50732,18230,127.0283485,37.52615131
23106,1분기,4173,27406,18736,24537,44309,15625,127.0281989,37.52309571
23106,2분기,4057,26054,18007,24132,42046,13713,127.0281989,37.52309571
23106,3분기,4744,26688,18720,24252,44038,14965,127.0281989,37.52309571
23106,4분기,4366,23953,17564,22659,40715,12953,127.0281989,37.52309571
23107,1분기,4570,30984,18440,25541,44218,11968,127.0258888,37.51887953
23107,2분기,4537,29580,19389,26429,42771,11586,127.0258888,37.51887953
23107,3분기,4696,29464,19167,26990,43920,11921,127.0258888,37.51887953
23107,4분기,4151,26276,18209,25122,38724,10939,127.0258888,37.51887953
23108,1분기,8797,55802,48054,77620,153427,59420,127.021868,37.517156
23108,2분기,9457,51339,45617,74771,149035,58882,127.021868,37.517156
23108,3분기,8346,50966,45865,73143,140925,54728,127.021868,37.517156
23108,4분기,7644,48437,44722,70960,126511,46494,127.021868,37.517156
23109,1분기,1580,13395,5964,7191,11092,5542,127.0193255,37.51741999
23109,2분기,1414,13409,6467,7485,12088,5594,127.0193255,37.51741999
23109,3분기,1394,13531,6674,7343,11624,5712,127.0193255,37.51741999
23109,4분기,1329,13719,6596,6880,10149,4960,127.0193255,37.51741999
23110,1분기,12779,75343,38010,43749,71947,29879,127.02009,37.514719
23110,2분기,12081,71392,37510,43746,70529,27413,127.02009,37.514719
23110,3분기,10619,70309,35898,42696,69566,27020,127.02009,37.514719
23110,4분기,9556,68185,34504,40583,63992,25092,127.02009,37.514719
23111,1분기,4268,105662,36783,42584,60558,27565,127.0217703,37.5168778
23111,2분기,4410,99850,34423,40423,56207,26482,127.0217703,37.5168778
23111,3분기,4165,104504,35107,39909,55308,25981,127.0217703,37.5168778
23111,4분기,3304,96510,32916,37045,48792,21844,127.0217703,37.5168778
23112,1분기,3450,59911,21049,24972,34565,13543,127.0259391,37.51866441
23112,2분기,3140,58125,20750,24535,33608,13105,127.0259391,37.51866441
23112,3분기,3209,60570,21741,25985,34747,13536,127.0259391,37.51866441
23112,4분기,2623,55912,20360,24349,31647,12938,127.0259391,37.51866441
23113,1분기,4449,34954,15317,20911,62759,18455,127.0285622,37.5184082
23113,2분기,4400,34044,14796,19596,59435,17170,127.0285622,37.5184082
23113,3분기,4937,35193,14654,19331,61890,17434,127.0285622,37.5184082
23113,4분기,4429,32114,13996,18256,57052,16583,127.0285622,37.5184082
23114,1분기,5182,103530,22362,23976,58313,18901,127.0302458,37.51480707
23114,2분기,4868,100860,21625,24188,56317,18578,127.0302458,37.51480707
23114,3분기,5003,102523,22272,23493,57235,18088,127.0302458,37.51480707
23114,4분기,4518,99059,21897,23313,55304,16928,127.0302458,37.51480707
23115,1분기,3397,26891,17393,21793,37979,13544,127.0297132,37.51371991
23115,2분기,3258,27121,16599,22284,34736,13360,127.0297132,37.51371991
23115,3분기,3255,26905,16708,21949,34924,13998,127.0297132,37.51371991
23115,4분기,2982,24265,15902,20317,29495,12221,127.0297132,37.51371991
23116,1분기,2470,14310,10280,12967,19921,7008,127.0234945,37.51179894
23116,2분기,2509,14229,10760,13537,19264,7076,127.0234945,37.51179894
23116,3분기,2431,14604,10195,12855,19711,7507,127.0234945,37.51179894
23116,4분기,2221,13534,9894,11913,16503,6334,127.0234945,37.51179894
23117,1분기,4226,35793,16934,19292,28528,13617,127.0224406,37.51134044
23117,2분기,4407,34022,16844,18961,28290,13674,127.0224406,37.51134044
23117,3분기,4500,35815,15963,18830,28309,13408,127.0224406,37.51134044
23117,4분기,4283,32347,15057,17291,25289,11156,127.0224406,37.51134044
23118,1분기,4588,65504,21796,23203,34300,14639,127.0300881,37.51369865
23118,2분기,4667,62828,21321,22977,31973,14581,127.0300881,37.51369865
23118,3분기,4648,66079,21156,23731,32632,14433,127.0300881,37.51369865
23118,4분기,4689,59593,20238,22198,29101,12446,127.0300881,37.51369865
23119,1분기,4254,44547,13703,16006,31923,14023,127.0323559,37.51027213
23119,2분기,3582,41931,14045,15831,29773,12226,127.0323559,37.51027213
23119,3분기,3898,44450,14708,16227,30509,12595,127.0323559,37.51027213
23119,4분기,3225,42206,13885,15847,28882,11836,127.0323559,37.51027213
23120,1분기,504,10608,3478,3731,5826,2259,127.0317185,37.50672595
23120,2분기,337,9698,3317,3368,4509,2132,127.0317185,37.50672595
23120,3분기,442,9946,3348,3621,4751,2227,127.0317185,37.50672595
23120,4분기,388,8789,3216,3263,3939,1791,127.0317185,37.50672595
23121,1분기,965,7541,5050,7139,14311,6962,127.0261192,37.50507711
23121,2분기,933,6466,4861,6665,12564,6177,127.0261192,37.50507711
23121,3분기,918,6869,4778,6664,12386,5934,127.0261192,37.50507711
23121,4분기,780,6119,4536,6042,10513,5174,127.0261192,37.50507711
23122,1분기,1528,40063,15849,19790,43022,15335,127.023986,37.505852
23122,2분기,1686,36890,15451,19040,39861,13654,127.023986,37.505852
23122,3분기,1668,38763,15817,19424,40219,13213,127.023986,37.505852
23122,4분기,1295,37709,14730,17915,36367,11557,127.023986,37.505852
23123,1분기,952,40703,16611,20603,52532,18125,127.0218369,37.51027193
23123,2분기,924,38892,15863,20102,49392,16536,127.0218369,37.51027193
23123,3분기,827,40678,16462,20853,50852,15896,127.0218369,37.51027193
23123,4분기,865,39517,15579,19381,47298,14531,127.0218369,37.51027193
23124,1분기,4536,45314,15566,17484,26972,12545,127.0307698,37.52039868
23124,2분기,4273,43358,14808,16850,26040,11833,127.0307698,37.52039868
23124,3분기,4263,45520,15805,17418,26721,11870,127.0307698,37.52039868
23124,4분기,3419,42029,14463,16235,24519,10603,127.0307698,37.52039868
23125,1분기,3273,53590,20879,24725,48784,16989,127.0348831,37.52168544
23125,2분기,3267,50112,20860,24523,47490,15540,127.0348831,37.52168544
23125,3분기,3307,50937,21217,25024,49574,15777,127.0348831,37.52168544
23125,4분기,2884,47072,18966,23669,44100,14063,127.0348831,37.52168544
23126,1분기,4457,21343,15633,19633,32699,18722,127.0380422,37.52267134
23126,2분기,4182,21244,15713,19651,33637,18117,127.0380422,37.52267134
23126,3분기,4317,21412,16501,20606,34665,18812,127.0380422,37.52267134
23126,4분기,3831,20394,15015,19221,31927,17348,127.0380422,37.52267134
23127,1분기,3212,20855,15798,24404,80878,30099,127.0407232,37.518485
23127,2분기,2793,19942,15626,24990,79347,28017,127.0407232,37.518485
23127,3분기,2756,20256,16273,25808,82467,27595,127.0407232,37.518485
23127,4분기,2188,19790,15525,25316,78912,25414,127.0407232,37.518485
23128,1분기,1900,37211,11255,12212,16859,6455,127.040089,37.51689253
23128,2분기,1798,32805,10544,11971,15280,6278,127.040089,37.51689253
23128,3분기,1935,36644,10675,12307,15498,6311,127.040089,37.51689253
23128,4분기,1854,32770,9326,10806,13450,5361,127.040089,37.51689253
23129,1분기,696,20547,7451,8181,11844,3588,127.036104,37.51568226
23129,2분기,618,18426,6894,8113,10428,3264,127.036104,37.51568226
23129,3분기,635,19375,6736,8219,10794,3198,127.036104,37.51568226
23129,4분기,617,17913,5993,7260,8967,2696,127.036104,37.51568226
23130,1분기,455,5101,3014,4334,7206,3085,127.035466,37.517034
23130,2분기,494,4811,2609,4006,6395,3083,127.035466,37.517034
23130,3분기,471,5090,2682,3910,6030,3068,127.035466,37.517034
23130,4분기,408,5044,2610,3727,5651,2744,127.035466,37.517034
23131,1분기,1995,10393,3974,4208,6495,1796,127.0352148,37.51732697
23131,2분기,1967,9644,3620,4332,6168,1894,127.0352148,37.51732697
23131,3분기,1972,10119,3831,4157,6758,1720,127.0352148,37.51732697
23131,4분기,1928,9756,3862,4505,6023,1551,127.0352148,37.51732697
23132,1분기,2078,114557,29652,33103,80683,23018,127.0302709,37.51512743
23132,2분기,1683,107614,27704,32366,76849,21349,127.0302709,37.51512743
23132,3분기,1873,112636,28157,32483,75835,21434,127.0302709,37.51512743
23132,4분기,1754,104281,26536,31970,72363,19436,127.0302709,37.51512743
23133,1분기,2011,57874,16261,17107,29686,8934,127.0286786,37.51853637
23133,2분기,2052,54105,14960,16535,27699,8684,127.0286786,37.51853637
23133,3분기,2082,56096,15459,16729,28645,9079,127.0286786,37.51853637
23133,4분기,1641,51715,14854,15749,26606,7977,127.0286786,37.51853637
23134,1분기,1011,19645,9252,12384,22956,6657,127.0364341,37.51565505
23134,2분기,1532,18133,8724,11579,20752,6261,127.0364341,37.51565505
23134,3분기,1257,18277,8685,11271,21921,6428,127.0364341,37.51565505
23134,4분기,1144,16398,7911,10893,18924,5441,127.0364341,37.51565505
23135,1분기,1067,10287,7412,10006,17967,6095,127.0401994,37.51678711
23135,2분기,1426,9457,7531,9671,17018,5676,127.0401994,37.51678711
