연도,월,버스정류장ARS번호,역명,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
2020,01,23101,신사중학교,280,4018,3284,3801,4728,1409,127.0204417,37.52299569
2020,01,23101,신사중학교,738,5732,4754,5625,7519,3534,127.0204417,37.52299569
2020,01,23101,신사중학교,85,1972,1513,1708,2188,810,127.0204417,37.52299569
2020,01,23101,신사중학교,222,4988,3141,3487,4446,2239,127.0204417,37.52299569
2020,01,23101,신사중학교,433,2818,2455,3394,3929,1624,127.0204417,37.52299569
2020,01,23101,신사중학교,137,1178,701,1089,2344,1255,127.0204417,37.52299569
2020,01,23101,신사중학교,429,3689,2257,1418,3814,1344,127.0204417,37.52299569
2020,01,23101,신사중학교,97,1921,1956,2792,1823,660,127.0204417,37.52299569
2020,02,23101,신사중학교,274,3624,2548,3093,4097,1086,127.0204417,37.52299569
2020,02,23101,신사중학교,658,5174,4001,4581,6737,2863,127.0204417,37.52299569
2020,02,23101,신사중학교,70,1990,1185,1385,2014,591,127.0204417,37.52299569
2020,02,23101,신사중학교,200,4868,2634,2914,3978,1675,127.0204417,37.52299569
2020,02,23101,신사중학교,357,2671,2015,2567,3419,1353,127.0204417,37.52299569
2020,02,23101,신사중학교,134,1140,694,1069,2105,1065,127.0204417,37.52299569
2020,02,23101,신사중학교,443,3452,1659,1152,2923,1075,127.0204417,37.52299569
2020,02,23101,신사중학교,56,1693,1684,2156,1641,525,127.0204417,37.52299569
2020,03,23101,신사중학교,268,2862,1958,2450,3433,893,127.0204417,37.52299569
2020,03,23101,신사중학교,560,4549,3062,4008,6302,2167,127.0204417,37.52299569
2020,03,23101,신사중학교,75,1588,925,1032,1708,587,127.0204417,37.52299569
2020,03,23101,신사중학교,214,4012,2023,2345,3331,1225,127.0204417,37.52299569
2020,03,23101,신사중학교,310,2185,1659,2166,3017,1048,127.0204417,37.52299569
2020,03,23101,신사중학교,137,956,477,954,1893,930,127.0204417,37.52299569
2020,03,23101,신사중학교,438,2929,1393,888,2560,877,127.0204417,37.52299569
2020,03,23101,신사중학교,57,1570,1199,1782,1350,475,127.0204417,37.52299569
2020,04,23101,신사중학교,238,3082,2083,2755,3733,1008,127.0204417,37.52299569
2020,04,23101,신사중학교,772,4936,3364,4463,6720,2668,127.0204417,37.52299569
2020,04,23101,신사중학교,80,1646,980,1187,1878,643,127.0204417,37.52299569
2020,04,23101,신사중학교,186,4293,2320,2644,3826,1382,127.0204417,37.52299569
2020,04,23101,신사중학교,495,2275,1808,2351,3389,1249,127.0204417,37.52299569
2020,04,23101,신사중학교,145,1138,578,869,2022,967,127.0204417,37.52299569
2020,04,23101,신사중학교,392,3104,1699,1132,2858,965,127.0204417,37.52299569
2020,04,23101,신사중학교,72,1752,1306,2027,1516,522,127.0204417,37.52299569
2020,05,23101,신사중학교,316,3391,2407,3467,4422,1099,127.0204417,37.52299569
2020,05,23101,신사중학교,879,5265,4211,5411,7372,3038,127.0204417,37.52299569
2020,05,23101,신사중학교,90,1755,1157,1483,2130,764,127.0204417,37.52299569
2020,05,23101,신사중학교,209,4612,2645,3002,4169,1682,127.0204417,37.52299569
2020,05,23101,신사중학교,538,2585,2212,3186,3859,1539,127.0204417,37.52299569
2020,05,23101,신사중학교,153,1111,719,1147,2105,1169,127.0204417,37.52299569
2020,05,23101,신사중학교,441,3298,1798,1313,3735,1215,127.0204417,37.52299569
2020,05,23101,신사중학교,132,1750,1768,2598,1726,702,127.0204417,37.52299569
2020,06,23101,신사중학교,334,4131,2607,3300,4889,1277,127.0204417,37.52299569
2020,06,23101,신사중학교,881,5494,4123,5271,7999,3324,127.0204417,37.52299569
2020,06,23101,신사중학교,66,2218,1334,1467,2355,773,127.0204417,37.52299569
2020,06,23101,신사중학교,247,5399,2725,3152,4525,1939,127.0204417,37.52299569
2020,06,23101,신사중학교,588,3077,2235,3106,3900,1767,127.0204417,37.52299569
2020,06,23101,신사중학교,185,1291,697,1240,2219,1242,127.0204417,37.52299569
2020,06,23101,신사중학교,420,3875,1704,1285,3772,1382,127.0204417,37.52299569
2020,06,23101,신사중학교,174,2301,1908,2479,1571,721,127.0204417,37.52299569
2020,07,23101,신사중학교,285,4464,2992,3828,4907,1417,127.0204417,37.52299569
2020,07,23101,신사중학교,1028,5892,4740,6021,8721,3814,127.0204417,37.52299569
2020,07,23101,신사중학교,98,2168,1395,1788,2445,971,127.0204417,37.52299569
2020,07,23101,신사중학교,278,5382,3227,3701,5107,2086,127.0204417,37.52299569
2020,07,23101,신사중학교,670,3243,2398,3015,4246,1932,127.0204417,37.52299569
2020,07,23101,신사중학교,165,1461,842,1187,2409,1463,127.0204417,37.52299569
2020,07,23101,신사중학교,496,3978,1769,1445,3958,1445,127.0204417,37.52299569
2020,07,23101,신사중학교,201,2363,2012,2600,1673,864,127.0204417,37.52299569
2020,08,23101,신사중학교,250,3647,2420,2810,3735,988,127.0204417,37.52299569
