연도,월,버스정류장ARS번호,역명,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
2020,01,23101,신사중학교신사중학교신사중학교신사중학교신사중학교신사중학교신사중학교신사중학교,2421,26316,20061,23314,30791,12875,1016.1635336,300.18396552
2020,01,23102,신사중학교신사중학교신사중학교신사중학교신사중학교신사중학교신사중학교신사중학교,1704,16031,13701,19598,33736,15612,1016.1686944,300.18789344
2020,01,23103,광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교,1968,15946,13053,16317,19235,8377,1016.2013368,300.20403312
2020,01,23104,광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교광림교회.현대고등학교,1551,11571,12139,16003,24022,9766,1016.195552,300.2021792
2020,01,23105,압구정역4번출구압구정역4번출구압구정역4번출구압구정역4번출구압구정역4번출구,5048,39956,13679,14398,21147,8675,635.1417425000001,187.63075655
2020,01,23106,국민은행국민은행국민은행국민은행국민은행,1508,10028,7323,9369,16195,6295,635.1409945,187.61547855
2020,01,23107,신사동고개신사동고개신사동고개신사동고개,1555,11042,7145,9668,15766,4714,508.1035552,150.07551812
2020,01,23108,신사사거리.가로수길신사사거리.가로수길신사사거리.가로수길신사사거리.가로수길신사사거리.가로수길신사사거리.가로수길신사사거리.가로수길,3259,19657,19083,30445,57091,23790,889.1530759999999,262.620092
2020,01,23109,신사역사거리신사역사거리신사역사거리,589,4770,2238,2802,4118,2205,381.0579765,112.55225997
2020,01,23110,신사동사거리.신사역신사동사거리.신사역신사동사거리.신사역신사동사거리.신사역신사동사거리.신사역신사동사거리.신사역신사동사거리.신사역신사동사거리.신사역,4623,26607,14299,16445,26679,11856,1016.16072,300.117752
2020,01,23111,신사사거리신사사거리신사사거리신사사거리신사사거리,1580,37118,14023,16559,23518,10891,635.1088515,187.58438900000002
2020,01,23112,신사동고개신사동고개신사동고개신사동고개신사동고개,1162,21142,8046,9515,12813,5144,635.1296955,187.59332204999998
2020,01,23113,강남을지병원강남을지병원강남을지병원강남을지병원강남을지병원,1567,12357,5878,7854,22304,6800,635.1428109999999,187.59204100000002
2020,01,23114,학동역학동역학동역학동역,1734,35981,8451,9009,20574,7027,508.1209832,150.05922828
2020,01,23115,논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역,1277,9506,6959,8354,13834,5142,762.1782792,225.08231946
2020,01,23116,영동시장영동시장영동시장영동시장영동시장영동시장,901,5143,4041,4912,7291,2656,762.140967,225.07079363999998
2020,01,23117,영동시장영동시장영동시장영동시장영동시장영동시장,1565,12725,6541,7323,10472,5206,762.1346436,225.06804264
2020,01,23118,논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역논현동사거리.학동역,1772,22674,8486,8843,12649,5484,762.1805286,225.0821919
2020,01,23119,논현동고개논현동고개논현동고개논현동고개논현동고개논현동고개,1774,16126,5173,6055,11734,5533,762.1941354,225.06163277999997
2020,01,23120,삼정호텔삼정호텔,186,3765,1385,1500,2315,897,254.063437,75.0134519
2020,01,23121,신논현역신논현역,394,2855,2020,2707,5307,2771,254.0522384,75.01015422
2020,01,23122,교보타워교보타워교보타워,602,14258,6186,7693,15805,6171,381.071958,112.51755599999998
2020,01,23123,영동시장논현역영동시장논현역영동시장논현역,352,14640,6491,7929,19039,7233,381.0655107,112.53081579
2020,01,23124,언북중학교입구언북중학교입구언북중학교입구,1510,15937,5876,6625,9835,4723,381.0923094,112.56119604
2020,01,23125,제일은행.호림아트센터앞제일은행.호림아트센터앞제일은행.호림아트센터앞제일은행.호림아트센터앞,1089,19215,7937,9278,17643,6620,508.1395324,150.08674176
2020,01,23126,영동119안전센터영동119안전센터,1573,7305,5743,7174,11466,6798,254.0760844,75.04534268
2020,01,23127,강남구청역강남구청역강남구청역강남구청역강남구청역,1240,7530,6274,9136,28451,11296,635.203616,187.592425
