iter	RMSE
0	1091.678158
1	1069.661338
2	1053.801991
3	1041.001762
4	1034.768544
5	1027.189778
6	1019.083253
7	1013.431245
8	1006.885218
9	1000.018671
10	997.8924478
11	994.0593034
12	990.4164608
13	986.2245863
14	982.7415932
15	978.5576115
16	972.6838957
17	968.3185637
18	957.668873
19	952.8177189
20	948.6176739
21	944.1418663
22	940.7677409
23	937.4872647
24	934.7892553
25	931.122935
26	924.0253722
27	919.9134877
28	918.5632505
29	916.1050558
30	914.6640553
31	911.8267646
32	908.6370193
33	906.8863534
34	905.854041
35	903.9610997
36	902.4159496
37	895.1690577
38	892.7369126
39	889.8952196
40	889.0451565
41	887.2004815
42	883.7633172
43	881.5019396
44	878.8351172
45	876.9499235
46	874.767191
47	872.9751047
48	870.4661545
49	865.7564227
50	861.5375961
51	858.8916347
52	855.4158831
53	851.7374227
54	847.0799991
55	842.1965629
56	838.5580821
57	835.6064269
58	834.3415685
59	828.0894258
60	825.9694453
61	823.1338645
62	821.4519996
63	817.899522
64	817.429733
65	815.5908918
66	811.3768707
67	808.4156239
68	805.777799
69	802.0895514
70	801.1477472
71	798.5041178
72	797.4344131
73	795.0716197
74	792.311499
75	788.1697694
76	785.7008245
77	784.3670538
78	782.4900091
79	780.2320164
80	779.2370046
81	775.9693528
82	773.5793907
83	771.8756202
84	767.7987571
85	763.4890665
86	761.3674833
87	759.1389058
88	754.9009741
89	753.74037
90	751.8770723
91	751.4001492
92	750.437455
93	749.0666637
94	746.4865485
95	744.4890861
96	742.6151936
97	741.9978825
98	738.7876465
99	736.4281855
100	735.1820024
101	734.7141731
102	732.4233564
103	730.877526
104	726.5483893
105	724.5543892
106	722.6514061
107	721.0995496
108	718.4784051
109	716.5782982
110	714.8058311
111	713.2892852
112	709.8785353
113	708.5302722
114	706.6978982
115	704.4638805
116	701.7388099
117	700.251303
118	698.8621337
119	696.8909655
120	694.9458678
121	693.7481871
122	692.4106496
123	690.5823081
124	688.6547438
125	685.9364709
126	684.7500501
127	683.5967932
128	681.8144896
129	680.6203138
130	679.2563183
131	676.9550427
132	676.2321651
133	675.1989311
134	673.5429594
135	672.9263589
136	672.1886306
137	671.910657
138	669.3658031
139	668.1277583
140	666.9026479
141	665.2094622
142	664.2478006
143	663.9263482
144	661.8820701
145	661.6271964
146	660.4106248
147	658.7169787
148	657.4870207
149	657.1227644
150	655.7182228
151	654.4162778
152	652.4308294
153	649.9063749
154	648.5340758
