iter	Passed	Remaining
0	49	24712
1	101	25215
2	151	25136
3	199	24678
4	250	24761
5	308	25377
6	364	25658
7	423	26027
8	476	26010
9	523	25637
10	574	25542
11	624	25398
12	678	25399
13	731	25391
14	782	25293
15	841	25462
16	887	25226
17	936	25083
18	997	25258
19	1110	26643
20	1180	26929
21	1242	27004
22	1293	26825
23	1344	26663
24	1396	26530
25	1443	26316
26	1492	26148
27	1545	26053
28	1592	25863
29	1640	25707
30	1692	25610
31	1741	25463
32	1785	25268
33	1843	25268
34	1896	25197
35	1944	25057
36	1991	24918
37	2036	24755
38	2080	24598
39	2129	24494
40	2179	24396
41	2182	23803
42	2228	23684
43	2272	23549
44	2320	23462
45	2371	23405
46	2420	23325
47	2465	23217
48	2512	23124
49	2561	23050
50	2611	22995
51	2660	22918
52	2705	22821
53	2757	22778
54	2802	22676
55	2847	22572
56	2900	22543
57	2948	22469
58	2998	22409
59	3042	22311
60	3088	22225
61	3134	22146
62	3188	22117
63	3236	22047
64	3279	21949
65	3326	21876
66	3374	21811
67	3422	21740
68	3470	21676
69	3521	21634
70	3576	21610
71	3626	21557
72	3673	21490
73	3728	21465
74	3776	21400
75	3822	21327
76	3872	21274
77	3922	21221
78	3968	21146
79	4015	21081
80	4067	21041
81	4117	20990
82	4164	20920
83	4207	20836
84	4254	20769
85	4311	20754
86	4355	20674
87	4401	20607
88	4450	20551
89	4497	20488
90	4550	20451
91	4603	20415
92	4650	20353
93	4698	20292
94	4746	20233
95	4803	20215
96	4853	20163
97	4896	20087
98	4941	20017
99	4991	19966
100	5039	19906
101	5088	19855
102	5135	19792
